項目,担当部署,担当者,メーカー/製品名,導入年,構成/接続方式(VLAN/DICOM等),現状の課題・不満点,完了チェック
PACS,放射線科,,,,, , [ ]
電子カルテ,医事課/事務局,,,,, , [ ]
CT,放射線科,,,,, , [ ]
MRI,放射線科,,,,, , [ ]
US(一般),放射線科,,,,, , [ ]
乳腺エコー,放射線科,,,,, , [ ]
ECG/ABI,放射線科,,,,, , [ ]
眼科機器,眼科,,,,, , [ ]
透析システム,透析センター,,,,, , [ ]
サーバー構成,事務局/IT担当,,,,, , [ ]
ネットワーク機器(ルータ/SW),事務局/IT担当,,,,, , [ ]
ネットワーク論理構成(VLAN等),事務局/IT担当,,,,, , [ ]
インターネット回線(冗長性),事務局/IT担当,,,,, , [ ]
バックアップ方式,事務局/IT担当,,,,, , [ ]
【緊急】システムダウン時一次連絡先,事務局/IT担当,,,,, , [ ]
【緊急】ベンダー保守連絡先一覧,事務局/IT担当,,,,, , [ ]
老健連携,老健担当,,,,, , [ ]
AI/API要望,全部署,,,,, , [ ]
